id,location,lat,lon,final,easily_skipped,group,comment
UR,Seelisbergsee,46.9610136,8.572907,FALSE,FALSE,1,
SZ,Sihlsee (Einsiedeln),47.1415204,8.7585541,FALSE,FALSE,1,ziemlich unklar wo genau
OW,Melchsee,46.7742188,8.2664034,FALSE,FALSE,1,evtl. Gravel über Engstlenalp möglich
NW,"Rotzlochschlucht, Ennetmoos",46.9634002,8.3314168,FALSE,FALSE,1,
LU,Sempachersee,47.171185,8.133401,TRUE,FALSE,2,
ZH,Greifensee,47.373439,8.660323,TRUE,FALSE,2,
GL,Elmercitro Brunnen,46.913204,9.167908,TRUE,FALSE,2,
ZG,Zugersee,47.172936,8.504339,TRUE,FALSE,2,
BE,Grimsel Pass Dam,46.5736048,8.3402021,FALSE,FALSE,,
FR,Sappeurbrüggli über der Sense,46.8872413,7.3531141,FALSE,FALSE,3,
SO,Burgäschisee,47.1718847,7.6665235,FALSE,FALSE,3,
BS,Tinguely Brunnen,47.5535275,7.590653,TRUE,TRUE,4,
BL,"Giessen Wasserfall, Kilchberg",47.4254006,7.9036863,FALSE,FALSE,,mandatory weil BS ohne nicht erreichbar ist
SH,Rheinfall,47.6803488,8.6177681,FALSE,TRUE,4,ziemlich unklar bislang wo genau
AR,Heilbad Unterreichstein,47.4310471,9.5155896,FALSE,FALSE,5,nah bei SG
AI,Seealpsee,47.2700758,9.4009876,FALSE,TRUE,5,rauslassen
SG,"Weihere, SG",47.4231933,9.391073,FALSE,FALSE,,mandatory weil AI/AR ohne nicht erreichbar sind
GR,Castrisch Brunnen,46.776256,9.231395,TRUE,FALSE,6,
AG,"Birrwil, Hafen",47.2909432,8.202365,FALSE,FALSE,6,
TG,"Untersee, Thurgau",47.6752421,9.0176513,FALSE,FALSE,6,sehr unklar bislang
TI,"Lai da Sontga Maria, Lucomagno",46.566941,8.784589,TRUE,FALSE,6,evtl. Gravel nach Airolo möglich -> Nufenen (VS)
VD,Lac de Brenet,46.6699111,6.3238469,FALSE,FALSE,6,
NE,Lac des Taillères (Brevine),46.970318,6.5854052,FALSE,FALSE,7,
GE,Jet d'Eau,46.2074078,6.1559768,FALSE,TRUE,7,
VS,Nufenenpass See,46.477352,8.387045,TRUE,FALSE,7,
JU,"Doubs, Saint-Ursanne",47.3638537,7.1549917,FALSE,FALSE,,
EN,"Bundesplatz, Bern",46.947148,7.4430059,TRUE,FALSE,,
