id,location,lon,lat,final,easily_skipped,group,comment,nogo_zones
UR,Seelisbergsee,8.567944,46.95825,TRUE,FALSE,1,NA,"8.550797,46.655094,7818;8.620148,46.885554,7252"
SZ,Sihlsee (Einsiedeln),8.789194,47.150944,TRUE,FALSE,1,ziemlich unklar wo genau,"8.739624,47.025233,11844;8.454666,47.081462,3242;8.758163,47.169648,4912;8.896866,47.157046,6031;8.968406,47.214647,275;8.984499,47.171161,1395"
OW,Melchsee,8.276972,46.7725,TRUE,FALSE,1,Gravel über Engstlenalp nicht möglich,"8.2164,46.868478,8697;8.277683,46.957062,2265"
NW,"Rotzlochschlucht, Ennetmoos",8.329139,46.965611,TRUE,FALSE,NA,mandatory weil UR ohne NW oder klettern nicht erreichbar ist,"8.397675,46.96057,6835"
LU,Sempachersee,8.133401,47.171185,TRUE,FALSE,2,NA,"8.423767,47.033171,3002;8.269272,47.084123,9818;8.445225,47.109169,3895;7.991867,46.878506,9334;8.083191,47.101421,17300;7.891188,47.21508,3055;7.846556,47.227233,708;7.983627,47.257799,2022;8.256912,47.241254,3650"
ZH,Greifensee,8.660323,47.373439,TRUE,FALSE,2,NA,"8.693619,47.376038,18812;8.655339,47.194961,2752;8.518525,47.477533,11399;8.805881,47.544787,3649;8.485563,47.267115,5979;8.670273,47.593662,5714;8.64521,47.664925,2673"
GL,Elmercitro Brunnen,9.167908,46.913204,TRUE,FALSE,2,NA,"9.048615,46.996202,8518;9.007244,47.138476,2591;9.149895,47.107761,2661"
ZG,Zugersee,8.504339,47.172936,TRUE,FALSE,2,NA,"8.561783,47.146303,5863;8.457584,47.154996,3226;8.557148,47.197877,2835;8.407245,47.225864,1081;8.430634,47.199042,2357"
BE,Grimsel Pass Dam,8.277713,46.548822,TRUE,FALSE,NA,mandatory weil Ziel ohne nicht erreichbar,NA
FR,Sappeurbrüggli über der Sense,7.352194,46.887528,TRUE,FALSE,3,NA,"7.134933,46.93432,5459;7.200165,46.983062,1980;7.141113,46.799209,11733;7.008591,46.923068,7322;6.850491,46.745946,1801;6.805515,46.73186,961;6.765175,46.734685,632;6.991425,46.599462,14011;7.241364,46.615463,5621;7.307024,46.868351,2512"
SO,Burgäschisee,7.670655,47.169347,TRUE,FALSE,3,NA,"7.397919,47.107757,1433;7.452507,47.091635,1281;7.439117,47.11618,1860;7.4683,47.146772,3645;7.685623,47.159432,701;7.62228,47.183297,3570;7.589107,47.157215,594;7.505035,47.209305,7259;7.40427,47.199217,3664;7.724075,47.373263,7109;7.771453,47.297044,4736;7.626228,47.268496,7292;7.853851,47.340564,3614;7.971264,47.391144,2764;7.90741,47.380918,2579;7.96586,47.440512,1351;7.659529,47.461524,2722;7.586057,47.371847,4362;7.46418,47.384868,1496;7.502265,47.378555,770;7.542028,47.405494,1013;7.624514,47.422045,2527;7.442915,47.077823,433;7.9638,47.421932,815;7.95702,47.346151,2827;7.625799,47.488209,1356"
BS,Tinguely Brunnen,7.590653,47.5535275,TRUE,TRUE,4,NA,"7.554131,47.55649,4937"
BL,"Giessen Wasserfall, Kilchberg",7.903889,47.425167,TRUE,FALSE,NA,mandatory weil BS ohne nicht erreichbar ist,NA
SH,Rheinfall,8.610678,47.677181,TRUE,TRUE,4,ziemlich unklar bislang wo genau,"8.853822,47.65556,501;8.552942,47.583937,1741"
AR,Heilbad Unterreichstein,9.515868,47.430041,TRUE,FALSE,5,nah bei SG,"9.560595,47.401021,583;9.57819,47.413222,343;9.561625,47.423354,442;9.573383,47.449103,1529;9.613037,47.444111,952;9.53373,47.441325,1635;9.498711,47.421583,2459;9.461632,47.385802,3277;9.445839,47.420177,1094;9.277267,47.35743,4885;9.351339,47.391786,1220;9.392281,47.393468,2140;9.305592,47.271542,2174;9.273834,47.297976,1777;9.59527,47.444924,1103"
AI,Seealpsee,9.42886,47.286366,TRUE,TRUE,5,rauslassen,"9.399834,47.302282,6405;9.377518,47.37063,1423;9.542141,47.41775,1069;9.542774,47.429376,225;9.515705,47.398262,653;9.531412,47.403752,724;9.560337,47.413844,581;9.58952,47.417057,660;9.580293,47.427941,797;9.565251,47.433277,483;9.605699,47.434532,280"
SG,"Weihere, SG",9.391073,47.4231933,TRUE,FALSE,NA,mandatory weil AI/AR ohne nicht erreichbar sind,NA
GR,Castrisch Brunnen,9.231395,46.776256,TRUE,FALSE,6,ohne Gr ist TI nur mit 2x Wanderweg erreichbar,"9.679642,46.914639,12257;9.327393,46.658848,26616;8.839188,46.647079,9746"
AG,"Birrwil, Hafen",8.2115,47.269361,TRUE,FALSE,6,NA,"8.202667,47.390916,13119;8.040276,47.531358,8929;8.269615,47.582079,11054;7.894707,47.276202,3852;7.853336,47.25465,2162;8.057785,47.304377,5380;7.922516,47.318956,1942;7.929554,47.256046,1995;7.969379,47.299139,2519;8.346004,47.277599,3572;8.359394,47.221438,2817;8.370209,47.180611,2308;8.387375,47.157739,2049;8.400421,47.321135,3097;8.374329,47.359411,2583"
TG,"Untersee, Thurgau",9.047376,47.675328,TRUE,FALSE,6,sehr unklar bislang,"8.964157,47.476901,5578;8.948193,47.412111,2412;9.387131,47.526938,4176;9.056854,47.634398,17518;8.761597,47.604774,1333;8.80331,47.60211,1918;9.254951,47.494479,2254"
TI,"Lai da Sontga Maria, Lucomagno",8.784589,46.566941,TRUE,FALSE,6,"evtl. Gravel nach Airolo möglich, falls nicht -> GR mandatory","8.684692,46.390541,20895"
VD,Lac de Brenet,6.317178,46.667207,TRUE,FALSE,6,NA,"6.595917,46.708811,17373;7.003098,46.905725,5491;6.970139,46.348802,16090"
NE,Lac des Taillères (Brevine),6.571174,46.964767,TRUE,FALSE,7,NA,"6.757965,47.047544,13151;6.992111,47.077488,5793"
